"objectid","oberflur_nummer","art_txt","subart_txt","verlegejahr","eigentuemer_txt","geometry"
"1","","Unterflurhydrant","Zweiarmig","1975","öffentlich","POINT (2684918.8 1251089.1)"
"2","810","Oberflurhydrant","Zweiarmig","1983","öffentlich","POINT (2683488.2 1251312.6)"
"3","811","Oberflurhydrant","Zweiarmig","1983","öffentlich","POINT (2683542 1251285.9)"
"4","812","Oberflurhydrant","Zweiarmig","1982","öffentlich","POINT (2683594 1251255.4)"
"5","813","Oberflurhydrant","Zweiarmig","1982","öffentlich","POINT (2683637.2 1251231)"
"6","1973","Oberflurhydrant","Zweiarmig","1991","öffentlich","POINT (2683334.5 1251265.5)"
"7","","Unterflurhydrant","Zweiarmig","1980","öffentlich","POINT (2683865.8 1252154.1)"
"8","","Unterflurhydrant","Zweiarmig","1959","öffentlich","POINT (2683903.8 1252210.1)"
"9","1884","Oberflurhydrant","Zweiarmig","1988","öffentlich","POINT (2684721 1251347.6)"
"10","","Unterflurhydrant","Zweiarmig","1948","öffentlich","POINT (2684186.5 1252708)"
"11","","Unterflurhydrant","Zweiarmig","1945","öffentlich","POINT (2684146.8 1252651.1)"
"12","","Unterflurhydrant","Zweiarmig","1977","öffentlich","POINT (2684167 1252758.1)"
"13","","Unterflurhydrant","Zweiarmig","1931","öffentlich","POINT (2683850.8 1252474.1)"
"14","","Unterflurhydrant","Zweiarmig","1962","öffentlich","POINT (2683683 1251101.8)"
"15","","Unterflurhydrant","Zweiarmig","1980","öffentlich","POINT (2683561.8 1251541.1)"
"16","","Unterflurhydrant","Zweiarmig","1962","öffentlich","POINT (2683617.8 1252469.1)"
"17","","Unterflurhydrant","Zweiarmig","1939","öffentlich","POINT (2683954.8 1252739.2)"
"18","","Unterflurhydrant","Zweiarmig","1939","öffentlich","POINT (2683931 1252813.2)"
"19","1851","Oberflurhydrant","Zweiarmig","1986","öffentlich","POINT (2684124.8 1251388)"
"20","1816","Oberflurhydrant","Zweiarmig","1986","öffentlich","POINT (2684225.8 1252730.1)"
"21","","Unterflurhydrant","Zweiarmig","1940","öffentlich","POINT (2685567 1251949.8)"
"22","1819","Oberflurhydrant","Zweiarmig","1985","öffentlich","POINT (2683607.2 1251464.2)"
"23","1820","Oberflurhydrant","Zweiarmig","2004","öffentlich","POINT (2683549.8 1251500.4)"
